ID;ENSEIGNE;ADRESSE;COMPLEMENT;CODE POSTAL;COMMUNE;NATURE DU DEBIT
1;;32 route des grands champs;TABAC;01400;L-ABERGEMENT-CLEMENCIAT;Ordinaire permanent
2;;42 RUE ROGER VAILLANT;CC DAME LOUISE-TABAC-;01500;AMBERIEU-EN-BUGEY;Ordinaire permanent
3;TABAC DE LA GARE;6 AV DU GENERAL SARRAIL;TABAC;01500;AMBERIEU-EN-BUGEY;Ordinaire permanent
4;MAISON DE LA PRESSE;14 R BERARD;TABAC;01500;AMBERIEU-EN-BUGEY;Ordinaire permanent
5;;8 AV  PAUL PAINLEVE;TABAC;01500;AMBERIEU-EN-BUGEY;Ordinaire permanent
6;LA ROSERAIE;33  rue de la ruelle;TABAC;01330;AMBERIEUX-EN-DOMBES;Ordinaire permanent
7;;114 GRANDE RUE;TABAC;01500;AMBRONAY;Ordinaire permanent
8;L'EQUATEUR;69 R GENERAL ANDREA;TABAC;01100;ARBENT;Ordinaire permanent
9;VIVAL;97 R CENTRALE;TABAC;01200;BELLEGARDE-SUR-VALSERINE;Ordinaire permanent
10;A MA CAMPAGNE;RUE JEAN MARIE VIANNEY;TABAC;01480;ARS-SUR-FORMANS;Ordinaire permanent
11;;GRANDE RUE;TABAC;01510;ARTEMARE;Ordinaire permanent
12;;500 grande rue;TABAC;01340;ATTIGNAT;Ordinaire permanent
13;VIVAL;60 R MARSALE;TABAC;01380;BAGE-LE-CHATEL;Ordinaire permanent
14;LE PATIO;60  PL PUTHOD;TABAC;01380;BAGE-LE-CHATEL;Ordinaire permanent
15;;238 rue Edgar BERLIOZ;TABAC;01480;BEAUREGARD;Ordinaire permanent
16;LE TOBAGO;13 PL DE L HOTEL DE VILLE;TABAC;01810;BELLIGNAT;Ordinaire permanent
17;;2 bis RTE DE LYON;TABAC;01360;BELIGNEUX;Ordinaire permanent
18;;GARE SNCF VESTIBULE;TABAC;01200;BELLEGARDE-SUR-VALSERINE;Spécial
19;LE NICOTIANE;6 R JOSEPH BERTOLA;TABAC;01200;BELLEGARDE-SUR-VALSERINE;Ordinaire permanent
