Code_EDV;Type;Nom NCA
c_5_0_31;Tronçon de réseau EU Gravitaire;Réseau eaux usées
c_5_0_32;Tronçon de réseau EP Gravitaire;Réseau eaux pluviales
c_5_0_33;Tronçon de réseau unitaire Gravitaire;Réseau unitaire
c_5_0_36;Tronçon canalisation rejet des Eaux Traitées;Réseau eaux traitées
c_5_0_30;Tronçon de Refoulement EU;Refoulement
c_5_3_9;Ventouse sur canalisation de refoulement;Ventouse
c_5_3_10;Vidange sur canalisation de refoulement;Vidange
c_5_3_7;Regard Eaux Usées;Regard eaux usées
c_5_2_5;Regard Eaux Pluviales;Regard eaux pluviales
c_5_2_6;Regard Eaux Unitaires;Regard unitaire
c_5_2_7;Regard Eaux Mixtes;Regard mixte
c_5_4_0;Regard Eaux Traitées;Regard eaux traitées
c_5_2_8;Bouche avaloir;Avaloir
c_5_3_2;Grille;Grille
c_5_1_10;Boîte de branchement EP;Boite eaux pluviales
c_5_0_27;Tronçon de branchement EP;Branchement eaux pluviales
c_5_1_9;Boîte de branchement EU;Boite eaux usées
c_5_0_28;Tronçon de branchement EU;Branchement eaux usées
c_5_1_11;Boite de branchement unitaire;Boite unitaire
c_5_0_29;Tronçon de branchement unitaire;Branchement unitaire
R_1_1_69;Profondeur des réseaux;Profondeur reseau
c_5_1_3;Déversoir d’orage;Déversoir d'orage
c_5_3_4;Dessableur;Dessableur
c_5_3_3;Dissipateur Eaux Pluviales;Dissipateur
c_5_3_22;Séparateurs Hydrocarbures;Séparateurs Hydrocarbures
c_5_3_23;Clapet anti-retour;Calpet
c_5_5_0;Bassin de traitement;Bassin traitement
c_5_5_1;Bassin de rétention;Bassin de retention
c_4_0_4;Drain;Drain
c_5_2_0;Station d'épuration;STEU
c_5_3_5;Exutoire;Exutoire
c_5_3_6;Poste de refoulement;Poste de refoulement
c_4_0_3;Fossé;Fossé
